CP,Localidad,Provincia,,,,
1296,CABA - Barracas,Capital Federal,,,,
1298,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1300,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1301,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1302,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1303,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1304,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1305,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1306,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1307,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1308,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1309,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1310,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1311,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1312,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1313,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1314,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1315,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1316,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1317,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1318,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1319,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1320,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1321,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1322,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1323,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1324,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1325,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1326,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1327,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1328,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1329,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1330,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1331,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1332,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1333,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1334,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1335,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1336,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1337,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1338,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1339,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1340,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1341,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1342,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1343,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1344,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1345,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1346,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1347,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1348,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1349,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1350,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1351,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1352,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1353,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1354,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1355,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1356,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1357,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1358,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1359,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1360,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1361,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1362,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1363,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1364,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1365,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1366,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1367,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1368,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1369,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1370,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1371,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1372,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1373,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1374,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
1375,Ciudad Autonoma Buenos Aires,Capital Federal,,,,
